Title,Ingredients,Preparation,Benefits,Category
Milk and Lemon Juice,"
- Two tablespoons of raw milk
- one teaspoon of lemon juicePreparation: Mix raw milk and lemon juice well Dab with a cotton ball and apply all over the exposed areaHealth Benefits: Raw milk helps in reversing suntan and protects from sun damage
- aids in collagen production for natural glow
- soothes sunburn Lemon juice (high in Vitamin C helps in reducing spots and pigmentation","
- Mix raw milk and lemon juice well Dab with a cotton ball and apply all over the exposed area","
- Raw milk helps in reversing suntan and protects from sun damage
- aids in collagen production for natural glow
- soothes sunburn Lemon juice (high in Vitamin C helps in reducing spots and pigmentation Mix raw milk and lemon juice well Dab with a cotton ball and apply all over the exposed areaHealth Benefits: Raw milk helps in reversing suntan and protects from sun damage
- aids in collagen production for natural glow
- soothes sunburn Lemon juice (high in Vitamin C helps in reducing spots and pigmentation Raw milk helps in reversing suntan and protects from sun damage
- aids in collagen production for natural glow
- soothes sunburn Lemon juice (high in Vitamin C helps in reducing spots and pigmentation",Skin Care
Aloe Vera and Zinc Lotion,"
- One teaspoon aloe vera gel
- half teaspoon jojoba oil
- ml of water
- to  teaspoon of zinc oxide (for SPF 
- optional  capsule of Untitled  Vitamin E (avoid for oily/acne-prone skin)Preparation: Mix aloe vera gel
- jojoba oil
- and water to make a lotion Add zinc oxide and optionally Vitamin E Apply on exposed skin before going outHealth Benefits: Aloe vera protects by blocking up to % of UV rays Zinc oxide works by scattering sun rays
- preventing harmful UV radiation","
- Mix aloe vera gel, jojoba oil, and water to make a lotion Add zinc oxide and optionally Vitamin E Apply on exposed skin before going out","
- Aloe vera protects by blocking up to % of UV rays Zinc oxide works by scattering sun rays
- preventing harmful UV radiation Mix aloe vera gel
- jojoba oil
- and water to make a lotion Add zinc oxide and optionally Vitamin E Apply on exposed skin before going outHealth Benefits: Aloe vera protects by blocking up to % of UV rays Zinc oxide works by scattering sun rays
- preventing harmful UV radiation Aloe vera protects by blocking up to % of UV rays Zinc oxide works by scattering sun rays
- preventing harmful UV radiation",Skin Care
Aloe Vera and Glycerin Sunscreen,"
- Aloe vera juice
- a few drops of glycerin
- rose waterPreparation: Combine all ingredients in a spray bottle and spray on any exposed part of the bodyHealth Benefits: Aloe vera is a natural and effective sunblock Glycerin acts as a barrier against sun-damaging rays and environmental pollutants
- and helps in locking moistureSource..: ""Easy ways to prevent indigestion | Dr. Hansaji Yogendra""","
- Combine all ingredients in a spray bottle and spray on any exposed part of the body","
- Aloe vera is a natural and effective sunblock Glycerin acts as a barrier against sun-damaging rays and environmental pollutants
- and helps in locking moistureSource
- : ""Easy ways to prevent indigestion | Dr
- Hansaji Yogendra"" Combine all ingredients in a spray bottle and spray on any exposed part of the bodyHealth Benefits: Aloe vera is a natural and effective sunblock Glycerin acts as a barrier against sun-damaging rays and environmental pollutants
- and helps in locking moistureSource
- : ""Easy ways to prevent indigestion | Dr
- Hansaji Yogendra"" Aloe vera is a natural and effective sunblock Glycerin acts as a barrier against sun-damaging rays and environmental pollutants
- and helps in locking moistureSource
- : ""Easy ways to prevent indigestion | Dr
- Hansaji Yogendra""",Skin Care
Asafoetida Hing),"
- grams of asafoetida (hing)
- a glass of hot water
- a little sugarPreparation: Dissolve asafoetida and sugar in hot water and drink...Health Benefits: Provides quick relief from indigestion and flatulence","
- Dissolve asafoetida and sugar in hot water and drink...","
- Provides quick relief from indigestion and flatulence Dissolve asafoetida and sugar in hot water and drink
- Health Benefits: Provides quick relief from indigestion and flatulence Provides quick relief from indigestion and flatulence",Digestive
"Ginger, Lemon Juice, and Honey","
- A spoonful of ginger juice
- a spoonful of lemon juice
- spoons of honey
- warm water...Preparation: Mix ginger juice
- lemon juice
- and honey together
- and take it with warm waterHealth Benefits: Very good treatment for indigestion
- flatulence
- and acidity","
- Mix ginger juice, lemon juice, and honey together, and take it with warm water","
- Very good treatment for indigestion
- flatulence
- and acidity Mix ginger juice
- lemon juice
- and honey together
- and take it with warm waterHealth Benefits: Very good treatment for indigestion
- flatulence
- and acidity Very good treatment for indigestion
- flatulence
- and acidity",Digestive
Baking Soda,"
- A teaspoon full of baking soda
- a glass of cold waterPreparation: Dissolve baking soda in cold water and drink it slowly...Health Benefits: Helps in reducing the acidic feeling in the stomach
- provides temporary but quick relief from indigestion...","
- Dissolve baking soda in cold water and drink it slowly...","
- Helps in reducing the acidic feeling in the stomach
- provides temporary but quick relief from indigestion
- Dissolve baking soda in cold water and drink it slowly
- Health Benefits: Helps in reducing the acidic feeling in the stomach
- provides temporary but quick relief from indigestion
- Helps in reducing the acidic feeling in the stomach
- provides temporary but quick relief from indigestion",Digestive
Curd and,"
- Cooked rice
- fresh curd
- optional seasoning (jeera
- asafoetida)...Preparation: Mix cooked rice with fresh curd
- add optional seasoning Eat after five to six hours (allows for slight fermentation) Consume coolHealth Benefits: Lactobacillus enzymes developed during fermentation help in improving digestion Curd is an excellent probiotic for a healthy gutSource ""Glowing skin naturally | Skincare for dry & oily skin| Natural remedies for glowing skin""","
- Mix cooked rice with fresh curd, add optional seasoning Eat after five to six hours (allows for slight fermentation) Consume cool","
- Lactobacillus enzymes developed during fermentation help in improving digestion Curd is an excellent probiotic for a healthy gutSource ""Glowing skin naturally | Skincare for dry & oily skin| Natural remedies for glowing skin"" Mix cooked rice with fresh curd
- add optional seasoning Eat after five to six hours (allows for slight fermentation) Consume coolHealth Benefits: Lactobacillus enzymes developed during fermentation help in improving digestion Curd is an excellent probiotic for a healthy gutSource ""Glowing skin naturally | Skincare for dry & oily skin| Natural remedies for glowing skin"" Lactobacillus enzymes developed during fermentation help in improving digestion Curd is an excellent probiotic for a healthy gutSource ""Glowing skin naturally | Skincare for dry & oily skin| Natural remedies for glowing skin""",Skin Care
Honey and Rose Water Face,"
- Half tablespoon honey
- tablespoon of rose waterPreparation: Mix honey and rose water Apply gently on the face
- massage
- and leave it for  minutes before washing outHealth Benefits: Honey is moisturizing
- and rose water has toning properties
- ideal for dry or mature skin","
- Mix honey and rose water Apply gently on the face, massage, and leave it for  minutes before washing out","
- Honey is moisturizing
- and rose water has toning properties
- ideal for dry or mature skin Mix honey and rose water Apply gently on the face
- massage
- and leave it for  minutes before washing outHealth Benefits: Honey is moisturizing
- and rose water has toning properties
- ideal for dry or mature skin Honey is moisturizing
- and rose water has toning properties
- ideal for dry or mature skin",Skin Care
Aloe Vera Gel and Turmeric,"
- tablespoon of aloe vera gel
- Untitled  a pinch of turmericPreparation: Mix aloe vera gel with turmeric to form a cooling paste Apply to any red or inflamed areas
- keep on for  minutes
- and rinse offHealth Benefits: Fresh aloe vera gel and turmeric soothe and heal skin inflammation or irritation due to their anti-inflammatory and antioxidant properties","
- Mix aloe vera gel with turmeric to form a cooling paste Apply to any red or inflamed areas, keep on for  minutes, and rinse off","
- Fresh aloe vera gel and turmeric soothe and heal skin inflammation or irritation due to their anti-inflammatory and antioxidant properties Mix aloe vera gel with turmeric to form a cooling paste Apply to any red or inflamed areas
- keep on for  minutes
- and rinse offHealth Benefits: Fresh aloe vera gel and turmeric soothe and heal skin inflammation or irritation due to their anti-inflammatory and antioxidant properties Fresh aloe vera gel and turmeric soothe and heal skin inflammation or irritation due to their anti-inflammatory and antioxidant properties",Skin Care
Neem Powder and Honey Face Mask (for Kapha,"
- Half teaspoon neem powder
- one teaspoon honeyPreparation: Mix neem powder with honey
- leave it on for  minutes before rinsing offHealth Benefits: Neem and honey have cleansing and moisturizing properties","
- Mix neem powder with honey, leave it on for  minutes before rinsing off","
- Neem and honey have cleansing and moisturizing properties Mix neem powder with honey
- leave it on for  minutes before rinsing offHealth Benefits: Neem and honey have cleansing and moisturizing properties Neem and honey have cleansing and moisturizing properties",Skin Care
Chickpea Flour and Sandalwood Powder,"
- Half teaspoon chickpea (besan) flour
- teaspoon sandalwood powderPreparation: Mix chickpea flour and sandalwood powder with a little water just before washing your face dailyHealth Benefits: Gentle cleanser for the skinSource ""Home Treatments for Dandruff Using NEEM | DIY | Hair Care Tips | Dr. Hansaji Yogendra""","
- Mix chickpea flour and sandalwood powder with a little water just before washing your face daily","
- Gentle cleanser for the skinSource ""Home Treatments for Dandruff Using NEEM | DIY | Hair Care Tips | Dr
- Hansaji Yogendra"" Mix chickpea flour and sandalwood powder with a little water just before washing your face dailyHealth Benefits: Gentle cleanser for the skinSource ""Home Treatments for Dandruff Using NEEM | DIY | Hair Care Tips | Dr
